Player,Team1,Team2,Runs,Balls,4s,6s,Ducks,SR,Dream11_score
Shivam Dube,CSK,LSG,57,30,6,3,0,190,87
MS Dhoni,CSK,LSG,23,28,1,1,0,82.14,30
Dwaine Pretorius,CSK,LSG,8,4,0,1,0,200,14
Chris Jordan,CSK,LSG,5,5,0,0,0,100,9
Mukesh Choudhary,CSK,LSG,2,2,0,0,0,100,6
K L Rahul,LSG,CSK,68,50,6,1,0,136,90
Quinton De Kock,LSG,CSK,1,4,0,0,0,25,5
Evin Lewis,LSG,CSK,1,5,0,0,0,20,5
Manish Pandey,LSG,CSK,11,10,1,1,0,110,18
Deepak Hooda,LSG,CSK,51,33,3,3,0,154.55,76
Ayush Badoni,LSG,CSK,19,12,3,0,0,158.33,30
Krunal Pandya,LSG,CSK,6,3,1,0,0,200,11
Jason Holder,LSG,CSK,8,3,0,1,0,266.67,14
Abhishek Sharma,SRH,RR,13,11,2,0,0,118.18,19
Kane Williamson,SRH,RR,16,16,1,1,0,100,23
Rahul Tripathi,SRH,RR,44,30,5,1,0,146.67,61
Aiden Markram,SRH,RR,12,14,0,0,0,85.71,16
Nicholas Pooran,SRH,RR,34,24,3,2,0,141.67,51
Washington Sundar,SRH,RR,18,14,1,0,0,128.57,23
Romario Shepherd,SRH,RR,8,8,0,1,0,100,14
Bhuvneshwar Kumar,SRH,RR,1,2,0,0,0,50,5
Umran Malik,SRH,RR,1,1,0,0,0,100,5
Jos Buttler,RR,SRH,70,47,0,6,0,148.94,96
Yashasvi Jaiswal,RR,SRH,4,6,0,0,0,66.67,8
Devdutt Padikkal,RR,SRH,37,29,2,2,0,127.59,51
Sanju Samson,RR,SRH,8,8,0,1,0,100,14
Shimron Hetmyer,RR,SRH,42,31,4,2,0,135.48,60
Faf Du Plessis,RCB,MI,29,20,5,0,0,145,40
Anuj Rawat,RCB,MI,26,25,4,0,0,104,34
Virat Kohli,RCB,MI,5,6,0,0,0,83.33,9
Sherfane Rutherford,RCB,MI,5,10,0,0,0,50,3
Shahbaz Ahmed,RCB,MI,45,26,4,3,0,173.08,69
Dinesh Karthik,RCB,MI,44,23,7,1,0,191.3,67
Harshal Patel,RCB,MI,9,4,0,1,0,225,15
Rohit Sharma,MI,RCB,3,12,0,0,0,25,1
Ishan Kishan,MI,RCB,14,21,1,0,0,66.67,17
Dewald Brevis,MI,RCB,29,19,2,2,0,152.63,43
Suryakumar Yadav,MI,RCB,52,36,5,2,0,144.44,75
Tilak Varma,MI,RCB,38,27,3,2,0,140.74,55
Kieron Pollard,MI,RCB,22,5,0,3,0,440,32
Ajinkya Rahane,KKR,DC,7,11,0,0,0,63.64,9
Venkatesh Iyer,KKR,DC,50,41,6,1,0,121.95,70
Shreyas Iyer,KKR,DC,10,6,2,0,0,166.67,16
Sam Billings,KKR,DC,17,12,0,2,0,141.67,27
Nitish Rana,KKR,DC,8,7,0,1,0,114.29,14
Andre Russell,KKR,DC,11,5,1,1,0,220,18
Pat Cummins,KKR,DC,56,15,4,6,0,373.33,90
Prithvi Shaw,DC,KKR,61,34,9,2,0,179.41,92
David Warner,DC,KKR,4,12,0,0,0,33.33,2
Rovman Powell,DC,KKR,3,10,0,0,0,30,1
Rishabh Pant,DC,KKR,39,36,3,2,0,108.33,54
Sarfaraz Khan,DC,KKR,36,28,3,0,0,128.57,47
K L Rahul,LSG,PBSK,24,25,1,1,0,96,31
Quinton De Kock,LSG,PBSK,80,52,9,2,0,153.85,109
Evin Lewis,LSG,PBSK,5,13,0,0,0,38.46,3
Deepak Hooda,LSG,PBSK,11,13,0,0,0,84.62,15
Krunal Pandya,LSG,PBSK,19,14,0,1,0,135.71,27
Ayush Badoni,LSG,PBSK,10,3,1,1,0,333.33,17
Mayank Agarwal,PBSK,LSG,5,9,1,0,0,55.56,10
Shikhar Dhawan,PBSK,LSG,35,30,4,0,0,116.67,47
Jonny Bairstow,PBSK,LSG,8,8,2,0,0,100,14
Liam Livingstone,PBSK,LSG,64,27,7,4,0,237.04,97
Jitesh Sharma,PBSK,LSG,23,11,1,2,0,209.09,38
Shahrukh Khan,PBSK,LSG,15,8,0,2,0,187.5,23
Kagiso Rabada,PBSK,LSG,1,1,0,0,0,100,5
Rahul Chahar,PBSK,LSG,22,14,2,1,0,157.14,34
Vaibhav Arora,PBSK,LSG,2,6,0,0,0,33.33,6
Arshdeep Singh,PBSK,LSG,10,5,1,0,0,200,15
Matthew Wade,GT,CSK,6,7,1,0,0,85.71,11
Shubman Gill,GT,CSK,96,59,11,1,0,162.71,125
